name,cost_center,ccs,address,city,latitude,longitude,franchise,store_brand,display_brand,op_status,division_name,distance,country,url,services,franchise_brand
67011,67011,1,55 Main St. S,HAGERSVILLE,42.9593188,-80.0537298,0,Circle K,Circle K,Open,ontario,278.63357314108686,Canada,/store-ontario/Canada/hagersville/55-main-st-s/67011,"atm, coffee, polar_pop, froster, redbull_shop",NA
65077,65077,1,13553 Bruce Road 10,HANOVER,44.169734,-81.0356885,0,MACS,Mac's,Open,ontario,278.7182585909987,Canada,/store-ontario/Canada/hanover/13553-bruce-road-10/65077,"EU_LOUNGE, EU_MADE_TO_GO_FAST_FOOD, EU_ROUTEX_ATLAS, EU_SIMPLY_GREAT_COFFEE, EU_TRUCKDIESEL_NETWORK, EU_WIFI, EU_ROAD_TAXES, EU_TOILETS_BOTH, EU_VACUUM_CLEANER, gas, atm, coffee, polar_pop, froster, redbull_shop",NA
52352,52352,1,"775 Highland RD,  ",KITCHENER,43.4315373,-80.5247586,0,Circle K,Circle K,Open,ontario,278.8617337929544,Canada,/store-ontario/Canada/kitchener/775-highland-rd/52352,gas,NA
65078,65078,1,189 10th Street,HANOVER,44.1512052,-81.0319245,0,MACS,Mac's,Open,ontario,279.019919930139,Canada,/store-ontario/Canada/hanover/189-10th-street/65078,"EU_LOUNGE, EU_MADE_TO_GO_FAST_FOOD, EU_ROUTEX_ATLAS, EU_SIMPLY_GREAT_COFFEE, EU_TRUCKDIESEL_NETWORK, EU_WIFI, EU_ROAD_TAXES, EU_TOILETS_BOTH, atm, coffee, polar_pop, froster, redbull_shop",NA
930,930,0,1066 BOUL. MONSEIGNEUR-DE-LAVAL,BAIE-SAINT-PAUL,47.4493624,-70.5197333,0,Couche-Tard,Couche-Tard,Open,quebec,279.324183446911,CA,/store-locator/CA/baie-saint-paul/1066-boul-monseigneur-de-laval/930,"diesel, public_restrooms, atm",NA
1486,1486,1,192 Activa,KITCHENER,43.4057417,-80.5132188,0,Circle K,Circle K,Open,ontario,279.3320330766943,Canada,/store-ontario/Canada/kitchener/192-activa/1486,"atm, coffee, polar_pop, froster, roller_grill",NA
692,692,1,205 Erie Ave ,BRANTFORD,43.1265472,-80.2560238,0,Circle K,Circle K,Open,ontario,279.5876249863457,Canada,/store-ontario/Canada/brantford/205-erie-ave/692,"atm, coffee, polar_pop, froster, redbull_shop",NA
65061,65061,1,329 Main Street,SAUBLE BEACH,44.6300805,-81.26552,0,Circle K,Circle K,Open,ontario,279.58825601268245,Canada,/store-ontario/Canada/sauble-beach/329-main-street/65061,"atm, coffee, polar_pop, froster, redbull_shop",NA
62069,62069,1,450 Westheights Dr. ,KITCHENER,43.4177723,-80.5361185,0,Circle K,Circle K,Open,ontario,279.8752097773161,Canada,/store-ontario/Canada/kitchener/450-westheights-dr/62069,"atm, coffee, froster, redbull_shop",NA
1296,1296,1,540 Westforest Trail ,KITCHENER,43.4257735,-80.5450661,0,MACS,Mac's,Open,ontario,279.96495865270833,Canada,/store-ontario/Canada/kitchener/540-westforest-trail/1296,"gas, diesel, atm, coffee, polar_pop, froster, roller_grill",NA
854,854,1,121 Colborne St. W,BRANTFORD,43.1331785,-80.276013,0,Circle K,Circle K,Open,ontario,280.1390728075811,Canada,/store-ontario/Canada/brantford/121-colborne-st-w/854,"atm, coffee, polar_pop, froster, redbull_shop",NA
M7244,M7244,0,357 GONIC RD,ROCHESTER,43.258108,-70.97913,0,Circle K,Circle K,Open,greatlakes,280.2577995577304,US,/store-locator/US/rochester/357-gonic-rd/M7244,"gas, coffee, polar_pop, roller_grill",
M7212,M7212,0,51 STATE ROUTE 27,RAYMOND,43.04277,-71.174039,0,Circle K,Circle K,Open,greatlakes,281.1119448982259,US,/store-locator/US/raymond/51-state-route-27/M7212,"gas, diesel, coffee, polar_pop, roller_grill",
M7122,M7122,0,1239 ROOSEVELT TRAIL,RAYMOND,43.881279,-70.464867,0,Circle K,Circle K,Open,greatlakes,281.16342073297454,US,/store-locator/US/raymond/1239-roosevelt-trail/M7122,"gas, polar_pop, roller_grill",
M7227,M7227,0,580 FRANKLIN PIERCE HWY,BARRINGTON,43.212298,-70.994934,0,Circle K,Circle K,Open,greatlakes,281.43941242436244,US,/store-locator/US/barrington/580-franklin-pierce-hwy/M7227,"gas, coffee, polar_pop, froster, roller_grill",
M7234,M7234,0,55 BYPASS 28,DERRY,42.901802,-71.319248,0,Circle K,Circle K,Open,greatlakes,281.5186800212902,US,/store-locator/US/derry/55-bypass-28/M7234,"gas, diesel, coffee, polar_pop, roller_grill",
1605,1605,1,230 Shellard Lane,BRANTFORD,43.122661,-80.298711,0,Circle K,Circle K,Open,ontario,281.5271654312845,Canada,/store-ontario/Canada/brantford/230-shellard-lane/1605,"atm, coffee, polar_pop, froster, roller_grill, redbull_shop",NA
